         1801071959 function calls (1801068537 primitive calls) in 425.219 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
     1885    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 __init__.py:337(_init_posix)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
     1433    0.000    0.000    0.001    0.000 _parser.py:260(get)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1685(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
     3440    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
       18    0.000    0.000    0.000    0.000 arrayprint.py:550(wrapper)
     1917    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 bz2.py:1(<module>)
       24    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
      311    0.000    0.000    0.000    0.000 function_base.py:473(_add_docstring)
      169    0.000    0.000    0.000    0.000 _weakrefset.py:27(__exit__)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1678(_guarded_repr_or_str)
        1    0.000    0.000    0.000    0.000 std.py:245(tqdm)
     1119    0.000    0.000    0.000    0.000 _parser.py:167(__getitem__)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
       33    0.000    0.000    0.000    0.000 std.py:451(fp_write)
        3    0.000    0.000    0.000    0.000 warnings.py:131(filterwarnings)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:1(<module>)
      460    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
       10    0.000    0.000    0.000    0.000 enum.py:498(__new__)
        1    0.000    0.000    0.000    0.000 _type_check_impl.py:1(<module>)
      359    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      438    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      253    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       25    0.000    0.000    0.000    0.000 dtypes.py:30(_add_dtype_helper)
      374    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       68    0.000    0.000    0.000    0.000 utils.py:194(inner)
       78    0.000    0.000    0.000    0.000 std.py:102(acquire)
     1839    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:444(PercentStyle)
       50    0.000    0.000    0.000    0.000 typing.py:395(_flatten_literal_params)
       35    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     2160    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _nanfunctions_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ccallback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 printoptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
      336    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      439    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      441    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      440    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      707    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
      442    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      106    0.000    0.000    0.000    0.000 __init__.py:164(match)
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:1(<module>)
      438    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      821    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
      821    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
      165    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
   212/56    0.000    0.000    0.000    0.000 _parser.py:177(getwidth)
       46    0.000    0.000    0.000    0.000 std.py:110(__enter__)
        1    0.000    0.000    0.000    0.000 utils.py:34(envwrap)
    429/1    0.000    0.000    0.000    0.000 __config__.py:14(_cleanup)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _twodim_base_impl.py:1(<module>)
     1117    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      438    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:333(_screen_shape_linux)
     2605    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
